id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83
mir146a5p	-0.6541729	-0.66884613	-0.91736031	-1.1208611	-1.3431396	0.046140671	-1.0086212	-0.45980835	-1.9211178	-1.4281769	-1.9187756	-1.2578087	-1.9054356	-1.6925831	-2.7857952	-2.4074211	-1.0254326	-1.7115269	-0.40677071	-2.0996609	-1.0012665	-2.2396584	-2.2138309	-1.5470562	-1.8277111	-0.094774246	-0.81045151	-0.76246834	-0.40178871	-2.7244377	-2.8779011	-1.5291634	-0.9801712	-0.72523499	-0.60698509	-1.0355701	-0.025123596	-0.70228004	-0.12207985	-1.1668797	-1.4839916	-3.7373619	-0.2275753	-0.43008423	-0.55365562	-2.8212719	-1.9145164	-1.1056747	0.047369003	0.34378433	-0.68977928	-1.4319248	-2.3325443	-0.69432831	0.2075634	-0.5443058	-1.5084419	-2.1157227	-1.4919434	-1.7130051	-0.32957077	-1.3378086	-1.2332649	-0.70337868	-3.1836662	-2.1546021	-2.9714432	-3.1316948	-2.1070976	-1.4615631	-1.6545982	-2.7441635	-1.6770535	-0.527771	-1.9191628	-2.8929977	-1.4526463	-1.583992	-1.0431919	3.0293064	-1.6766014	-1.716437162	-1.8420715
mir1505p	0.56723213	1.3339539	2.7788982	2.3544884	2.6964149	2.2836666	-0.51357079	-0.74109268	0.043550491	-0.13453674	-0.4390316	0.072505951	-0.58479309	-1.1435642	-0.93453407	1.6527748	-0.063650131	0.29308891	0.96887398	-0.715868	-0.13347626	-0.91218948	-0.64888191	0.57402992	-0.14307213	1.6666088	1.5419769	0.63609505	0.065525055	0.25468826	-1.1778355	-0.81513596	-0.67765045	0.23116112	1.0041199	-0.48914337	0.64878273	-0.048030853	0.22433281	0.030948639	-0.097723007	0.85027695	-0.38396072	-0.38442039	0.018262863	1.2480106	1.3531303	2.6023655	0.70251656	-2.1271515	-0.69532204	1.6712055	0.18231964	-0.88585663	-0.26751328	-0.61015511	-1.5882339	-0.35323143	-0.87516975	-0.19757843	-0.62808037	0.094089508	0.005979538	0.091310501	-1.7078934	0.30494308	1.2586098	-0.76080322	-0.52032852	-0.92887306	-0.80923843	-0.99144173	0.77272224	1.7546997	-1.2854786	-1.0605145	-0.98107338	-0.34695244	-1.2143555	-0.48691177	-2.3646603	-1.164796406	-1.0750294
mir1555p	-6.5221024	-6.6028204	-4.163797383	-6.630125	-6.9245453	-5.536708014	-6.0850334	-7.4748497	-7.2074432	-7.7380867	-8.15728072	-10.285759	-8.7679596	-12.581566	-10.933905	-7.4797287	-6.87052458	-9.9850903	-7.8177395	-7.8096943	-7.160377089	-7.6441307	-9.362175	-7.5994549	-7.8497162	-4.3913765	-7.1807365	-8.635664	-6.6417656	-5.2635994	-3.918286017	-4.466166975	-7.4471283	-5.4309883	-6.7621536	-6.9547462	-8.0095348	-5.8300114	-4.1945057	-5.8344479	-4.846714	-3.028676186	-8.8941841	-7.0286484	-6.4935493	-4.6039982	-6.5190125	-6.2925072	-7.6425858	-8.5820618	-6.3311348	-5.3956642	-4.2139206	-4.7392368	-3.3083951	-6.6846657	-4.634170988	-2.5909653	-5.757967	-6.3372536	-5.6964531	-4.5696745	-5.4770813	-5.3884466	-5.9360962	-4.9997597	-3.9776421	-4.521801	-3.963212975	-6.372842783	-5.409413457	-7.0174866	-5.663573725	-1.5165596	-9.5557823	-7.0827007	-7.6912117	-7.163053911	-6.827126657	-3.7301064	-7.2897415	-2.8331413	-5.583735567
mir175p	-0.49238777	-0.61235809	-0.48337364	-1.4633808	-1.5581703	0.082948685	-0.62586212	-0.96977997	-1.2022934	-1.3561172	-1.4268818	-0.23787308	-1.241291	-1.4531536	-1.4409637	-1.0811234	-1.4522915	-1.99053	0.004749298	-0.41179085	-0.15011597	-0.74283218	-0.81529617	-0.27729607	-0.87431717	-3.2180519	-2.2542801	-0.28420067	-1.0175667	-1.4320488	-0.397842029	-1.9193115	-0.66473389	-0.80703163	-1.6758041	-0.11917114	-1.1451359	-0.45861626	-1.7411556	-0.034023285	-2.4904938	-0.19764328	-0.49370766	-0.85414886	-1.5558739	2.3639202	2.3030186	-0.26970863	1.1154118	-1.7945156	-0.196455	2.1068649	1.5472603	0.096313477	0.10041046	-0.20272255	-1.6003532	0.57361412	-1.6160507	0.2024498	2.0897903	0.21065331	2.230711	-0.47255516	-1.3177071	-2.0673676	-1.2495117	-0.85651016	-2.7978821	0.50933075	0.56338692	0.65200043	1.5298653	8.2434139	-0.7665062	-0.74069214	-1.0480194	-1.0870476	-0.49217224	0.13831139	-0.83295822	-0.61672974	-0.47953606
mir173p	-8.1266403	-6.3160711	-4.453233725	-7.235004633	-7.026039129	-4.2971783	-7.4654808	-10.764755	-8.07197298	-7.7355232	-8.1192875	-7.5556412	-8.5003891	-8.0645523	-6.01721	-7.0620384	-7.6548462	-8.06596527	-6.80472757	-6.3391781	-8.3337593	-8.69981	-8.9634857	-7.4488544	-7.1239128	-4.740167617	-7.0005679	-7.7556438	-8.1581726	-5.438891286	-4.71032296	-4.501349857	-7.8385735	-4.356720913	-5.9255638	-9.3913231	-6.669535214	-2.5874844	-5.604784667	-6.421866557	-7.3854637	-6.3250542	-5.926073563	-8.6153107	-4.4611626	-6.7036686	-3.7134018	-6.2114372	-8.9838676	-7.1980591	-5.9129524	-4.2218971	-9.5587997	-6.101511	-4.134697	-5.157821114	-4.67357125	-6.1005096	-7.4499111	-8.0607872	-5.3446465	-2.7091846	-4.1829796	-5.742979525	-6.8439293	-1.7444801	-4.079551143	-4.042737686	-5.2363968	-3.8197365	-4.3668022	-4.5488052	-5.6447411	-6.4771004	-5.468235	-6.5362377	-9.9688148	-10.287283	-7.057075517	-4.412426	-6.1879539	-4.7441902	-5.7602119
mir18a5p	-1.8476086	-2.0928192	-1.4798985	-3.5250874	-3.6647301	-1.7883015	-2.75494	-2.9225082	-3.1631279	-3.3504372	-3.5463085	-2.1303692	-3.5485477	-3.566534	-3.1448326	-3.1153107	-3.0703201	-3.7912693	-3.5911617	-1.9359303	-2.3373528	-3.0356026	-2.8290863	-2.3020229	-3.0182762	-5.5119591	-6.0087204	-2.323	-3.7223701	-2.2915192	-1.1976871	-1.2820206	-2.4777679	-2.0908394	-3.3853226	-3.0683632	-3.0158901	-0.021360397	-3.5587101	-3.1039639	-4.1443443	0.15238571	-2.5011024	-3.6322861	-2.6520157	-1.2467518	-0.32868195	-2.4566689	-1.3415833	-2.9003544	-3.449379	-1.2151508	-1.98633	-1.6669102	-0.53809929	-2.3993187	-1.0854416	-1.0712299	-1.9637699	-2.9224129	-2.223671	-1.6876469	-0.896101	-1.2476101	-3.1937332	-0.46427917	-1.2458916	-0.59469223	-1.6408958	-0.96973038	-0.59300613	-2.0054226	-1.0053902	-0.27412415	-3.1889038	-2.8449631	-5.3331718	-3.1088562	-4.0829735	-1.883091	-3.4429913	-1.7344055	-3.019371
mir1925p	-7.4646606	-4.4204483	-4.6442127	-3.8994961	-5.3659782	-4.2607288	-4.6535072	-5.1862869	-4.5661392	-3.6860352	-5.7502155	-4.9069748	-5.0359077	-5.7501335	-7.2134914	-4.7129555	-4.5789871	-4.3317356	-4.0682735	-5.1525631	-3.6106148	-4.7924156	-5.2161255	-5.3162556	-6.1693535	-3.1956367	-3.2642555	-3.8288136	-4.9598427	-4.9104691	-6.8861752	-3.6758332	-5.3980827	-3.932795038	-4.1372375	-4.3601875	-3.6928196	-7.5665569	-3.0442104	-5.4002361	-5.6294098	-1.4988327	-5.2426529	-4.466713	-4.4418488	-3.2200871	-2.3310814	-4.72472	-4.3145866	-9.3682251	-6.7784424	-1.3287563	-2.834549	-3.0874462	-3.9764099	-3.3343849	-6.6056595	-3.0278015	-4.9309368	-6.6953659	-4.9343262	-3.7478733	-2.5839767	-6.8505764	-7.3754883	-5.7782669	-3.0237312	-3.924809	-4.6506653	-4.6521416	-3.0450897	-5.6282883	-2.4933128	-3.5095367	-7.6596146	-4.869257	-4.8042908	-4.8096523	-4.6562767	-8.6503448	-5.8738518	-1.2702599	-3.3373451
mir1955p	1.3139038	3.4357224	2.000082	1.9164772	2.6211739	2.5225124	2.1339493	1.6730804	2.4120464	2.0659828	1.9809132	2.4595337	2.0335999	2.2105141	1.2569981	2.246521	2.419239	1.5892582	2.3664169	2.6397228	2.494915	1.4537582	2.1275024	3.1445408	2.4820957	1.1626625	1.9790421	2.5960484	1.6966934	0.40587044	3.3388844	2.4072304	3.1416512	1.5139351	1.9910431	1.6666393	0.62561035	4.1954613	0.7499752	2.7227173	-0.011043549	0.42529297	1.617157	1.106884	1.5960026	5.3014698	5.7310333	1.7291679	3.6656761	1.802702	2.7467175	4.5963612	3.6382027	2.0657578	2.6215057	2.287569	1.4855137	3.33988	-0.2360878	2.7333965	0.95573044	2.5144596	5.9053917	1.079443	2.176012	0.24023628	1.8159599	0.022258759	0.44161606	4.7779045	3.1461945	3.8773308	5.1461887	1.7034779	2.6712227	2.7588043	3.0683384	4.4841938	2.6894016	3.4198933	3.3722191	3.6239929	3.5086899
mir196a5p	-8.6079407	-7.289119083	-5.964957567	-8.185240886	-9.746727	-5.09242058	-10.006512	-8.506793963	-9.7018166	-11.732437	-8.5453434	-8.5701447	-13.116653	-11.082909	-8.5494366	-12.005505	-7.674851529	-8.9313526	-7.677340525	-8.3192768	-7.6942673	-9.065258	-9.6506271	-7.8880672	-11.830109	-6.33838845	-8.000173286	-7.9052029	-11.409573	-4.5701103	-4.11468635	-7.4974251	-7.081253867	-4.721184314	-10.655045	-10.761513	-6.798726063	-4.863826288	-8.213026	-5.9214344	-5.366024	-3.5011177	-8.7522926	-9.4332085	-5.9151115	-7.4322453	-10.579544	-8.8949089	-5.9932213	-6.996473057	-8.4222794	-6.1459846	-6.974105814	-6.479166	-4.7161674	-7.5559578	-5.2954165	-4.901546467	-7.2973919	-7.47226408	-8.8996735	-5.8737736	-7.4126625	-5.8590234	-5.8225861	-2.8843727	-3.737073071	-2.7557106	-3.1654816	-6.4651108	-7.1446304	-5.5932159	-8.3548813	-2.9213562	-7.6077385	-8.1960392	-7.0520515	-8.6589756	-8.6678238	-6.0337715	-8.1941795	-4.142724975	-6.285807138
mir19a3p	-0.57945442	0.7300148	-0.019601822	-0.69375038	-0.17472839	0.60776329	0.069747925	-0.29480362	-0.34963989	-0.85513687	-0.69646263	0.31676102	-0.055498123	-0.71037292	-0.45835495	-1.0714531	-1.263998	-1.5091648	-1.0065041	0.95814705	0.55311966	0.069997787	-0.40750694	-0.14369774	-0.91141319	-4.0331726	-2.6789398	-0.36501884	-1.6038914	-0.4852562	1.6641788	0.99245644	0.97401047	1.0182571	0.87966537	0.94444084	0.47068787	2.6403008	0.4981842	1.8383617	-0.45861816	0.78459549	0.49458122	0.53631783	1.2696838	2.9566402	3.5441914	1.0044403	2.085659	0.70401382	1.9408054	3.6294479	2.3492126	0.64472771	1.8173466	0.67006683	0.23917007	1.4348717	-1.0196991	1.5135479	0.78604317	0.8717289	4.1934147	0.7380619	1.1397629	-0.16213608	0.45145226	0.04258728	-0.27998734	3.1177959	2.0719681	2.5092812	3.1346302	1.2582035	0.83374405	0.95680428	2.0685349	2.551321	1.3283062	2.2510529	1.9341354	1.596487	1.9862976
mir19b3p	-0.75441551	0.10094452	-0.46925545	-0.70729256	-0.3518486	-1.4107151	-0.43439293	-0.61869812	-0.15986443	-0.35599518	-0.63030815	0.17921638	-0.42024994	-0.80202484	-0.86465263	-0.47708893	-0.47688293	-1.0869694	-0.52972031	0.15246773	0.23664093	-0.50946045	-0.11751556	0.08565712	-0.10507584	-3.3947868	-1.9803867	-0.2961216	-1.0247498	0.085084915	1.025568	0.52794647	0.28328133	0.48953629	0.090085983	0.41199684	-0.16233063	2.2534904	0.097633362	1.4887104	-1.184433	0.73117447	0.53862	0.14697456	0.65485764	1.9821815	2.9791183	0.20023918	1.2323112	-0.13852692	1.2339401	3.3307762	1.9601383	0.14425087	1.1066761	0.22801971	0.083637238	0.21837044	-1.5024567	1.2958832	0.22020149	0.13694763	3.4090538	-0.4111042	0.87856674	-0.45436096	0.40003395	-0.80191803	-1.2057533	2.2535534	0.89578247	2.1341152	2.9834442	0.48332977	0.67003441	0.24103546	0.85174179	1.5347481	0.4789257	1.4441128	0.71582985	0.79148865	0.82010269
mir200b3p	-5.3543396	-8.7054825	-4.083601	-6.4975567	-6.2334671	-6.4234295	-7.5219307	-10.178265	-7.1300735	-6.709301	-8.5595264	-12.034386	-6.528038	-8.0017776	-7.5922909	-8.4510612	-5.8201218	-7.5249882	-7.3343334	-8.2320423	-6.7385292	-7.7020226	-10.324104	-8.155756	-11.874317	-5.582119	-5.9662209	-7.1695232	-7.4082909	-3.0089989	-3.8290806	-5.377018	-4.9898338	-4.099926	-6.0095444	-3.7711945	-4.27458	-1.4879055	-4.9642429	-5.8695965	-6.1708412	-2.4646988	-4.7552185	-6.4963951	-4.0738029	-4.2648487	-6.7397881	-4.4915504	-5.1004333	-4.1815262	-6.6593094	-3.1996765	-5.7967644	-2.2354755	-1.7626476	-3.3477516	-2.2026939	-3.8683777	-4.3676624	-8.1843872	-3.8808479	-3.9472256	-6.5536423	-3.1419392	-4.0601883	-2.9282188	-2.163456	-2.0131721	-2.5482674	-6.1506348	-3.4247017	-6.9608727	-3.8426285	-1.5822258	-7.3836708	-6.0660534	-5.8408661	-4.8160152	-6.4850197	-3.4895973	-6.0638275	-3.6658325	-3.4282646
mir200c3p	-4.5203705	-4.9122353	-4.6063137	-5.8950863	-6.3078613	-4.954746529	-6.521595	-8.0033469	-6.3961372	-8.2430267	-8.5246029	-8.2387924	-8.7759628	-8.3210373	-7.4399776	-7.5626488	-5.5956421	-6.7172451	-7.7825375	-7.9875011	-7.4090572	-7.2514114	-7.96485976	-7.0924358	-8.4305077	-5.02628784	-6.0347214	-6.5076733	-6.6157532	-4.5046616	-6.3320065	-3.5404205	-7.1749458	-5.5073318	-10.300842	-3.4091263	-7.7507114	-5.58354	-8.8166332	-6.5817509	-6.4341049	-3.1193237	-4.8194084	-6.299823214	-7.9824257	-5.1505985	-7.0448418	-9.2903137	-8.4629555	-7.9934311	-8.6330185	-6.059010183	-4.8741531	-5.4857998	-2.1870613	-4.744862157	-7.240715	-6.522644	-6.0684452	-8.0607872	-5.460465767	-3.9267292	-6.6037331	-7.0601406	-6.2242584	-3.661750356	-3.0765495	-3.7062721	-4.6153412	-6.7502213	-5.432922983	-5.2427101	-5.5542564	-5.0303154	-9.0429726	-6.0874081	-6.2827606	-10.361738	-6.4700661	-7.4714012	-7.3589516	-5.4421272	-5.9758987
mir2055p	-2.8765812	-5.2807808	-4.4023342	-6.3048382	-6.7492027	-6.0876827	-6.2337608	-6.4007835	-7.1303368	-11.774158	-6.8691273	-4.3992672	-4.9523659	-5.9122849	-3.6666565	-5.862339	-6.1119537	-5.3381481	-5.457716	-3.2117786	-5.178566	-3.9022198	-4.6115417	-3.1090298	-2.552103	-3.843907483	-4.5073662	-2.1974163	-7.3977127	-0.7615509	-1.6466885	-3.2845917	-2.7968578	-4.2303886	-3.4031677	-1.5928478	-2.6627216	-0.91069221	-2.1773891	-2.9538441	-1.4484444	-0.65774918	-2.1133461	-3.6739235	-3.1176224	-2.6671886	-3.8781319	-2.2228355	-0.067306519	-6.4367256	-2.9924812	-3.3031235	-3.6503372	-0.80611229	-4.3408203	-1.2127705	-3.416797644	-0.33933449	-2.8256626	-2.3671322	-4.016738489	-2.356287	-2.0362473	-7.688097	-8.669796	-2.2751999	-2.0861282	-1.6549263	-1.3488388	-3.6465263	-2.411274	-4.2770271	-3.5808868	1.0966225	-4.5346031	-5.824522	-4.7704201	-5.1770306	-6.5825653	0.048229218	-4.6333733	-1.247757	-3.2686386
